Id,FriendlyName,Category,Priority,OriginalPriority,Name,ShortName,MarketId,Price,PricePerSlot,Slots,IconUrl,ImageUrl,BigImgUrlNote
59e655cb86f77411dc52a77b,.366 TKM EKO,Ammo,1 Low,1 Low,b'.366 TKM EKO',b'EKO',59e655cb86f77411dc52a77b,40,40.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/9/95/EKOICON.png?version=aecdc023a30ddeeacdb2edaa8380d240',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/9/95/EKOICON.png?version=aecdc023a30ddeeacdb2edaa8380d240',
59e6542b86f77411dc52a77a,.366 TKM FMJ,Ammo,1 Low,1 Low,b'.366 TKM FMJ',b'FMJ',59e6542b86f77411dc52a77a,26,26.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/d/d6/TKFMJICON.png?version=5c52d072fa790f6f788e9136a13e429f',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/d/d6/TKFMJICON.png?version=5c52d072fa790f6f788e9136a13e429f',
59e6658b86f77411d949b250,.366 TKM Geksa,Ammo,1 Low,1 Low,b'.366 TKM Geksa',b'Geksa',59e6658b86f77411d949b250,58,58.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/e/e9/GEKSAICON.png?version=81869665a27e00f56d4bfac7699e02df',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/e/e9/GEKSAICON.png?version=81869665a27e00f56d4bfac7699e02df',
5cde8864d7f00c0010373be1,12.7x108 mm B-32,Ammo,1 Low,1 Low,b'12.7x108 mm B-32',b'',0,0,0,0,b'',b'',
5d2f2ab648f03550091993ca,12.7x108 mm BZT-44M,Ammo,1 Low,1 Low,b'12.7x108 mm BZT-44M',b'',0,0,0,0,b'',b'',
5cadf6ddae9215051e1c23b2,12.7x55 mm PS12,Ammo,1 Low,1 Low,b'12.7x55 mm PS12',b'PS12',5cadf6ddae9215051e1c23b2,180,180.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/6/68/12.7x55_PS12_icon.png?version=64fda296d73e64f7cc6ece0afda9b312',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/6/68/12.7x55_PS12_icon.png?version=64fda296d73e64f7cc6ece0afda9b312',
5cadf6e5ae921500113bb973,12.7x55 mm PS12A,Ammo,1 Low,1 Low,b'12.7x55 mm PS12A',b'PS12A',5cadf6e5ae921500113bb973,130,130.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/7/7a/12.7x55_PS12A_icon.png?version=de74d85f18aabb3d817be7eb23cf8ccc',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/7/7a/12.7x55_PS12A_icon.png?version=de74d85f18aabb3d817be7eb23cf8ccc',
5cadf6eeae921500134b2799,12.7x55 mm PS12B,Ammo,1 Low,1 Low,b'12.7x55 mm PS12B',b'PS12B',5cadf6eeae921500134b2799,876,876.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/f/fb/12.7x55_PS12B_icon.png?version=76438ceeb9c1bbf989ae17ee976a00aa',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/f/fb/12.7x55_PS12B_icon.png?version=76438ceeb9c1bbf989ae17ee976a00aa',
5d6e6891a4b9361bd473feea,"12/70 ""Poleva-3"" Slug",Ammo,1 Low,1 Low,"b'12/70 ""Poleva-3"" Slug'",b'P-3 12c',5d6e6891a4b9361bd473feea,45,45.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/a/a0/Poleva3_Icon.png?version=4e1535d264e91e51d3a8e22dfcb18164',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/a/a0/Poleva3_Icon.png?version=4e1535d264e91e51d3a8e22dfcb18164',
5d6e689ca4b9361bc8618956,"12/70 ""Poleva-6u"" Slug",Ammo,1 Low,1 Low,"b'12/70 ""Poleva-6u"" Slug'",b'P-6u 12c',5d6e689ca4b9361bc8618956,69,69.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/c/c2/1270Poleva6SlugIcon.png?version=61b7b6446298ea4a19a6d3b0e9b1733c',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/c/c2/1270Poleva6SlugIcon.png?version=61b7b6446298ea4a19a6d3b0e9b1733c',
5d6e6772a4b936088465b17c,12/70 5.25mm Buckshot,Ammo,1 Low,1 Low,b'12/70 5.25mm Buckshot',b'5.25 12c',5d6e6772a4b936088465b17c,34,34.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/4/4e/1270525BuckshotIcon.png?version=b59d78ed4a323c3c1ce8b4439b475d30',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/4/4e/1270525BuckshotIcon.png?version=b59d78ed4a323c3c1ce8b4439b475d30',
5d6e6806a4b936088465b17e,"12/70 8.5 mm ""Magnum"" Buckshot",Ammo,1 Low,1 Low,"b'12/70 8.5 mm ""Magnum"" Buckshot'",b'8.5 12c',5d6e6806a4b936088465b17e,59,59.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/6/6d/127065ExpressMagnumIcon.png?version=e800ade46b496fe84303e3378f91c469',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/6/6d/127065ExpressMagnumIcon.png?version=e800ade46b496fe84303e3378f91c469',
5d6e68a8a4b9360b6c0d54e2,12/70 AP-20 Slug,Ammo,1 Low,1 Low,b'12/70 AP-20 Slug',b'AP-20',5d6e68a8a4b9360b6c0d54e2,400,400.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/3/3e/12-70_AP-20_icon.png?version=13395fb1de2dab6ec46f638b0574ff61',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/3/3e/12-70_AP-20_icon.png?version=13395fb1de2dab6ec46f638b0574ff61',
5d6e68dea4b9361bcc29e659,12/70 Dual Sabot Slug,Ammo,1 Low,1 Low,b'12/70 Dual Sabot Slug',b'2-Sabot',5d6e68dea4b9361bcc29e659,70,70.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/c/cf/12-70_Dual_Sabot_icon.png?version=77043ff7f8e3f7ed3a34aa6876e71a99',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/c/cf/12-70_Dual_Sabot_icon.png?version=77043ff7f8e3f7ed3a34aa6876e71a99',
5d6e6911a4b9361bd5780d52,12/70 Flechette,Ammo,1 Low,1 Low,b'12/70 Flechette',b'Flech.',5d6e6911a4b9361bd5780d52,114,114.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/b/b0/12-70_Flechette_icon.png?version=19fb3034c554993427005a7d16489fe1',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/b/b0/12-70_Flechette_icon.png?version=19fb3034c554993427005a7d16489fe1',
5d6e68e6a4b9361c140bcfe0,12/70 FTX Custom LIte Slug,Ammo,1 Low,1 Low,b'12/70 FTX Custom LIte Slug',b'FTX',5d6e68e6a4b9361c140bcfe0,70,70.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/9/97/FTX_Slug_Icon.png?version=986516bd249929d1514512a9aa49eeaf',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/9/97/FTX_Slug_Icon.png?version=986516bd249929d1514512a9aa49eeaf',
5d6e6869a4b9361c140bcfde,12/70 Grizzly 40 Slug,Ammo,1 Low,1 Low,b'12/70 Grizzly 40 Slug',b'Grizzly',5d6e6869a4b9361c140bcfde,60,60.0,1,b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/0/00/1270Grizzly40SlugIcon.png?version=16f29f80a71ed0df591605715dcb598d',b'https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/0/00/1270Grizzly40SlugIcon.png?version=16f29f80a71ed0df591605715dcb598d',
